,clust,name,value,clust_name,clust_level2
1,1,work,6.111030106,Work,
2,1,disabl,4.259239067,Work,
3,1,return,3.322922605,Work,
4,1,survivor,1.361874433,Work,
5,1,system,1.18144556,Work,
6,2,app,21.66505786,mHealth,mHealth & Technology
7,2,mhealth,11.59739671,mHealth,mHealth & Technology
8,2,dietitian,4.760171489,mHealth,mHealth & Technology
9,2,persuas,4.510014207,mHealth,mHealth & Technology
10,2,adopt,4.316007277,mHealth,mHealth & Technology
11,3,diabet,0.476316793,Diabetis,
12,3,level,0.47149682,Diabetis,
13,3,effect,0.461980461,Diabetis,
14,3,communiti,0.453136061,Diabetis,
15,3,activ,0.447091019,Diabetis,
16,4,dementia,8.671496632,Dementia,Cognitive function
17,4,person,2.687926201,Dementia,Cognitive function
18,4,usabl,2.015938483,Dementia,Cognitive function
19,4,strategi,1.841045343,Dementia,Cognitive function
20,4,miss,1.813405787,Dementia,Cognitive function
21,5,cognit,8.971032277,Cognitive function,Cognitive function
22,5,function,5.944350255,Cognitive function,Cognitive function
23,5,will,5.339759606,Cognitive function,Cognitive function
24,5,review,3.475881948,Cognitive function,Cognitive function
25,5,religi,3.080849658,Cognitive function,Cognitive function
26,6,chapter,2.396899002,,
27,6,other,2.324395097,,
28,6,cost,2.248306226,,
29,6,child,2.180820928,,
30,6,stress,2.165178131,,
31,7,hcv,6.722857951,Infectious,"Covid, other infections and vaccines"
32,7,hiv,5.119150598,Infectious,"Covid, other infections and vaccines"
33,7,infect,4.922833262,Infectious,"Covid, other infections and vaccines"
34,7,hepat,4.293491542,Infectious,"Covid, other infections and vaccines"
35,7,hbv,3.076573191,Infectious,"Covid, other infections and vaccines"
36,8,sexual,5.538907436,Sexual health,
37,8,healthcar,4.573479497,Sexual health,
38,8,men,4.032215834,Sexual health,
39,8,msm,4.022445103,Sexual health,
40,8,grindr,2.050692945,Sexual health,
41,9,women,4.836987094,Woman health,
42,9,breastfeed,3.501631841,Woman health,
43,9,refuge,2.532385676,Woman health,
44,9,pregnanc,2.080028366,Woman health,
45,9,alcohol,1.87355401,Woman health,
46,10,drug,13.35642686,Substance use,
47,10,inject,7.968178402,Substance use,
48,10,overdos,7.479228309,Substance use,
49,10,scs,6.870654642,Substance use,
50,10,sis,6.337145989,Substance use,
51,11,school,6.774842461,Schooling & Education,
52,11,student,4.931997625,Schooling & Education,
53,11,pa,4.608425737,Schooling & Education,
54,11,activ,2.890311943,Schooling & Education,
55,11,physic,2.690458094,Schooling & Education,
56,12,food,4.871141003,"Food, Nutrition and Diet",
