name,rename,group
Aabedi AA,Aabedi AA,TRACK-SCI
Agarwal N,Agarwal N,TRACK-SCI
Allodi I,Allodi I,UAB
Almeida CA,Almeida CA,UCSF
Alvarez-Palomo AB,Alvarez-Palomo AB,UAB
Amorim E,Amorim E,TRACK-SCI
Arbat-Plana A,Arbat-Plana A,UAB
Auladell C,Auladell C,UB
Badea SR,Badea SR,UAB
Bailey JF,Bailey JF,REACH
Batty NJ,Batty NJ,UOFA
Beattie MS,Beattie MS,TRACK-SCI
Beaudry E,Beaudry E,UOFA
Bellelli G,Bellelli G,UCSF
Bennett DJ,Bennett DJ,UOFA
Biernaskie J,Biernaskie J,UOFA
Bixby JL,Bixby JL,UCSF
Booker J,Booker J,REACH
Bradbury EJ,Bradbury EJ,UCSF
Bresnahan JC,Bresnahan JC,TRACK-SCI
Bruna J,Bruna J,UAB
Bufler P,Bufler P,UAB
Burke JF,Burke JF,TRACK-SCI
Burnside ER,Burnside ER,UCSF
Callahan A,Callahan A,UOFA
Calls A,Calls A,UAB
Carulla P,Carulla P,UAB
Chaumeil MM,Chaumeil MM,
Cheng Q,Cheng Q,
Chiu M,Chiu M,ODC
Chou A,Chou A,UCSF
Citerio G,Citerio G,
Cohen-Adad J,Cohen-Adad J,
Coll-Miro M,Coll-Miro M,UAB
Corona-Quintanilla DL,Corona-Quintanilla DL,UAB
Dahlby J,Dahlby J,
de Almeida Neto CA,Almeida CA,UCSF
de Winter F,de Winter F,
del Rio JA,del Rio JA,UAB
del Valle J,del Valle J,UAB
Dhall SS,Dhall SS,TRACK-SCI
Diaz-Arrastia R,Diaz-Arrastia R,TRACK-TBI
Digiorgio A,DiGiorgio AM,TRACK-SCI
DiGiorgio AM,DiGiorgio AM,TRACK-SCI
Dinarello CA,Dinarello CA,UAB
Dirlikov B,Dirlikov B,TRACK-SCI
Duong-Fernandez X,Duong-Fernandez X,TRACK-SCI
Duque D,Duque D,UB
Edel MJ,Edel MJ,UAB
Ehsanian R,Ehsanian R,TRACK-SCI
El Naga AN,El Naga AN,
Fenrich K,Fenrich KK,UOFA
Fenrich KK,Fenrich KK,UOFA
Ferguson AR,Ferguson AR,UCSF
Fields AJ,Fields AJ,REACH
Forero J,Forero J,UOFA
Fores J,Fores J,UAB
Fouad K,Fouad K,UOFA
Francos-Quijorna I,Francos-Quijorna I,UAB
Fuhrmann T,Fuhrmann T,
Funk J,Funk J,
Galimberti S,Galimberti S,
Garcia-Alias G,Garcia-Alias G,UAB
Gardner RC,Gardner RC,TRACK-TBI
Gasull X,Gasull X,UAB
Gavin R,Gavin R,
Gensel JC,Gensel JC,ODC
Giacino J,Giacino J,TRACK-TBI
Gonzalez F,Gonzalez-Perez F,UAB
Gonzalez-Perez F,Gonzalez-Perez F,UAB
Graziano F,Graziano F,
Grethe JS,Grethe JS,ODC
Guglielmetti C,Guglielmetti C,
Haefeli J,Haefeli J,TRACK-SCI
Hallworth BW,Hallworth BW,UOFA
Hargens AR,Hargens AR,REACH
Harris M,Harris MH,
Harris MH,Harris MH,
Hawkins BE,Hawkins BE,ODC
Hay J,Hay J,
Hemmerle DD,Hemmerle DD,TRACK-SCI
Hernandez J,Hernandez J,UAB
Huie JR,Huie JR,UCSF
Hyde J,Hyde J,
Isernia G,Isernia G,
Jain S,Jain S,TRACK-TBI
Jakeman LB,Jakeman LB,ODC
Johnson GTA,Johnson GTA,
Joiner WM,Joiner WM,
Junyent F,Junyent F,UB
Kaplan AD,Kaplan AD,UCSF
Keller A,Keller AV,REACH
Keller AV,Keller AV,REACH
Khatry S,Khatry S,
Kigerl KA,Kigerl KA,UOFA
Krajacic A,Krajacic A,UOFA
Krug R,Krug R,REACH
Krukowski K,Krukowski K,UCSF
Kuo YH,Kuo YH,
Kyritsis N,Kyritsis N,TRACK-SCI
Lecky F,Lecky F,
Lee S,Lee S,
Lemmon VP,Lemmon VP,ODC
Levin H,Levin H,TRACK-TBI
Lofgreen A,Lofgreen A,
Lopez-Serrano C,Lopez-Serrano C,UAB
Lopez-Vales R,Lopez-Vales R,UAB
Lotz JC,Lotz JC,REACH
Lucas-Osma AM,Lucas-Osma AM,UOFA
Maas AIR,Maas AIR,TRACK-TBI
Macon R,Macon R,
Madsen KL,Madsen KL,UOFA
Magnuson DSK,Magnuson DSK,ODC
Mah KM,Mah KM,UOFA
Manley GT,Manley GT,TRACK-TBI
Mannion C,Mannion C,
Markowitz AJ,Markowitz AJ,TRACK-TBI
Marshall L,Marshall L,
Martone ME,Martone ME,ODC
Matamoros-Angles A,Matamoros-Angles A,
Matthew RP,Matthew RP,REACH
